video_name,sample_number,source_frame_number,timestamp_seconds,roll_number,confidence,status
test_video_02.mp4,6,450,15.000,22102039,0.980362,recognized
test_video_02.mp4,6,450,15.000,22102037,0.711309,recognized
test_video_02.mp4,7,540,18.000,22102039,0.974543,recognized
test_video_02.mp4,7,540,18.000,22102040,0.829192,recognized
test_video_02.mp4,7,540,18.000,22102004,0.787181,recognized
test_video_02.mp4,7,540,18.000,22102037,0.843696,recognized
test_video_02.mp4,8,630,21.000,22102004,0.935278,recognized
test_video_02.mp4,8,630,21.000,22102039,0.971642,recognized
test_video_02.mp4,8,630,21.000,22102040,0.869620,recognized
test_video_02.mp4,8,630,21.000,22102037,0.627330,recognized
test_video_02.mp4,9,720,24.000,22102039,0.973062,recognized
test_video_02.mp4,9,720,24.000,22102004,0.837688,recognized
test_video_02.mp4,9,720,24.000,Unknown,0.479273,unknown
test_video_02.mp4,9,720,24.000,22102037,0.864418,recognized
test_video_02.mp4,10,810,27.000,22102004,0.795264,recognized
test_video_02.mp4,10,810,27.000,22102039,0.971548,recognized
test_video_02.mp4,10,810,27.000,22102040,0.644991,recognized
test_video_02.mp4,10,810,27.000,22102037,0.818219,recognized
test_video_02.mp4,11,900,30.000,22102004,0.902165,recognized
test_video_02.mp4,11,900,30.000,22102039,0.969151,recognized
test_video_02.mp4,11,900,30.000,22102037,0.876749,recognized
test_video_02.mp4,11,900,30.000,22102040,0.720224,recognized
test_video_02.mp4,12,990,33.000,22102038,0.842023,recognized
test_video_02.mp4,12,990,33.000,22102039,0.978634,recognized
test_video_02.mp4,12,990,33.000,22102004,0.739034,recognized
test_video_02.mp4,12,990,33.000,22102040,0.595833,recognized
test_video_02.mp4,12,990,33.000,22102037,0.815334,recognized
test_video_02.mp4,12,990,33.000,Unknown,0.397345,unknown
test_video_02.mp4,13,1080,36.000,22102004,0.919856,recognized
test_video_02.mp4,13,1080,36.000,22102039,0.986048,recognized
test_video_02.mp4,13,1080,36.000,22102037,0.886975,recognized
test_video_02.mp4,13,1080,36.000,22102038,0.934560,recognized
test_video_02.mp4,13,1080,36.000,22102040,0.837156,recognized
test_video_02.mp4,14,1170,39.000,22102039,0.961734,recognized
test_video_02.mp4,14,1170,39.000,22102038,0.817365,recognized
test_video_02.mp4,14,1170,39.000,22102037,0.853881,recognized
test_video_02.mp4,14,1170,39.000,22102004,0.872557,recognized
test_video_02.mp4,14,1170,39.000,Unknown,0.265590,unknown
test_video_02.mp4,15,1260,42.000,22102039,0.969987,recognized
test_video_02.mp4,15,1260,42.000,22102038,0.861442,recognized
test_video_02.mp4,15,1260,42.000,22102004,0.918011,recognized
test_video_02.mp4,15,1260,42.000,22102040,0.925772,recognized
test_video_02.mp4,15,1260,42.000,22102037,0.637354,recognized
test_video_02.mp4,16,1350,45.000,22102038,0.800440,recognized
test_video_02.mp4,16,1350,45.000,22102039,0.980382,recognized
test_video_02.mp4,16,1350,45.000,22102040,0.687405,recognized
test_video_02.mp4,16,1350,45.000,22102004,0.846788,recognized
